0.55	0.89
<2.79	None
<3.35	None
<5.51	None
<4.13	None
1.80	0.81
<4.25	None
<4.64	None
0.95	0.72
5.13	0.62
1.05	0.61
<4.02	None
0.38	0.42
3.15	0.34
1.71	0.33
2.09	0.24
3.89	0.51
1.73	0.21
1.70	0.24
1.43	0.21
1.95	0.55
2.16	0.40
2.19	0.24
1.66	0.20
2.39	0.53
0.75	0.56
1.56	0.20
2.19	0.36
1.77	0.33
2.00	0.30
1.53	0.30
1.53	0.23
1.21	0.27
1.74	0.24
1.23	0.62
1.66	0.19
1.79	0.21
3.47	0.20
1.49	0.24
1.54	0.15
1.58	0.42
2.07	0.19
1.79	0.17
1.92	0.20
2.13	0.30
2.20	0.19
2.25	0.23
2.23	0.24
